id,t,x,pred,Usage
0,0.0,-4.95,0.028332214156371237,Private
1,0.0,-4.8500000000000005,0.03131159131315172,Private
2,0.0,-4.75,0.034604190625492436,Public
3,0.0,-4.65,0.03824291139339039,Private
4,0.0,-4.55,0.042264098080728334,Private
5,0.0,-4.45,0.04670789744159148,Private
6,0.0,-4.3500000000000005,0.05161865138701605,Public
7,0.0,-4.25,0.0570453287160035,Private
8,0.0,-4.15,0.06304199894186636,Private
9,0.0,-4.05,0.06966835148661243,Private
10,0.0,-3.95,0.07699026345869213,Private
11,0.0,-3.85,0.08508041902704183,Private
12,0.0,-3.75,0.09401898299404524,Private
13,0.0,-3.6500000000000004,0.10389433046626857,Private
14,0.0,-3.55,0.11480383340880233,Private
15,0.0,-3.45,0.1268547031907898,Public
16,0.0,-3.35,0.14016488577714015,Private
17,0.0,-3.25,0.15486400271562398,Private
18,0.0,-3.1500000000000004,0.1710943261397477,Public
19,0.0,-3.05,0.1890117691688919,Private
20,0.0,-2.95,0.20878686370173494,Public
21,0.0,-2.85,0.2306056848435707,Private
22,0.0,-2.75,0.2546706640308543,Private
23,0.0,-2.65,0.28120120999529014,Public
24,0.0,-2.55,0.310434026420216,Public
25,0.0,-2.45,0.3426229755480561,Private
26,0.0,-2.35,0.3780382858969159,Private
27,0.0,-2.25,0.41696483731317646,Private
28,0.0,-2.15,0.4596991757006337,Private
29,0.0,-2.05,0.5065448116119262,Private
30,0.0,-1.95,0.5578052420328204,Public
31,0.0,-1.8499999999999999,0.6137740073373006,Public
32,0.0,-1.7499999999999998,0.6747209660858102,Private
33,0.0,-1.6499999999999997,0.7408738598856514,Private
34,0.0,-1.5499999999999996,0.812394185233059,Private
35,0.0,-1.45,0.8893464471095006,Public
36,0.0,-1.3499999999999999,0.971660125631717,Public
37,0.0,-1.2499999999999998,1.0590842576120802,Private
38,0.0,-1.1499999999999997,1.1511355575482234,Private
39,0.0,-1.0499999999999996,1.2470426122671219,Private
40,0.0,-0.95,1.345690955677007,Public
41,0.0,-0.8499999999999994,1.445576684738423,Public
42,0.0,-0.7499999999999998,1.544779347714529,Private
43,0.0,-0.6500000000000001,1.6409673365137294,Public
44,0.0,-0.5499999999999996,1.7314497026365887,Private
45,0.0,-0.45,1.8132856690208015,Public
46,0.0,-0.3499999999999995,1.8834558589703518,Public
47,0.0,-0.24999999999999983,1.939087258280429,Private
48,0.0,-0.1499999999999993,1.9777090248699212,Public
49,0.0,-0.04999999999999964,1.997502601521778,Private
50,0.0,0.05,1.997502601521778,Public
51,0.0,0.15000000000000052,1.9777090248699212,Public
52,0.0,0.25000000000000017,1.939087258280429,Private
53,0.0,0.3500000000000007,1.883455858970351,Private
54,0.0,0.45000000000000034,1.813285669020801,Private
55,0.0,0.55,1.731449702636588,Private
56,0.0,0.6500000000000006,1.640967336513729,Private
57,0.0,0.7500000000000002,1.5447793477145288,Private
58,0.0,0.8500000000000008,1.445576684738422,Private
59,0.0,0.9500000000000004,1.3456909556770065,Private
60,0.0,1.05,1.2470426122671214,Private
61,0.0,1.1500000000000006,1.1511355575482225,Private
62,0.0,1.2500000000000002,1.0590842576120796,Public
63,0.0,1.3500000000000008,0.9716601256317161,Public
64,0.0,1.4500000000000004,0.8893464471095003,Private
65,0.0,1.55,0.8123941852330587,Private
66,0.0,1.6500000000000006,0.7408738598856507,Private
67,0.0,1.7500000000000002,0.67472096608581,Private
68,0.0,1.8500000000000008,0.6137740073373,Private
69,0.0,1.9500000000000004,0.5578052420328202,Private
70,0.0,2.05,0.5065448116119262,Private
71,0.0,2.1500000000000004,0.4596991757006335,Private
72,0.0,2.25,0.41696483731317646,Public
73,0.0,2.3500000000000005,0.3780382858969157,Private
74,0.0,2.45,0.3426229755480561,Public
75,0.0,2.55,0.310434026420216,Public
76,0.0,2.6500000000000004,0.28120120999528997,Private
77,0.0,2.75,0.2546706640308543,Private
78,0.0,2.8500000000000005,0.23060568484357066,Private
79,0.0,2.95,0.20878686370173494,Private
80,0.0,3.05,0.1890117691688919,Private
81,0.0,3.1499999999999995,0.17109432613974787,Public
82,0.0,3.250000000000001,0.15486400271562384,Public
83,0.0,3.3500000000000005,0.14016488577714006,Public
84,0.0,3.45,0.1268547031907898,Private
85,0.0,3.55,0.11480383340880233,Public
86,0.0,3.6499999999999995,0.10389433046626867,Public
87,0.0,3.750000000000001,0.09401898299404515,Private
88,0.0,3.8500000000000005,0.08508041902704178,Public
89,0.0,3.95,0.07699026345869213,Private
90,0.0,4.05,0.06966835148661243,Public
91,0.0,4.1499999999999995,0.06304199894186642,Private
92,0.0,4.250000000000001,0.05704532871600345,Public
93,0.0,4.3500000000000005,0.05161865138701605,Public
94,0.0,4.45,0.04670789744159148,Public
95,0.0,4.55,0.042264098080728334,Private
96,0.0,4.650000000000001,0.03824291139339035,Private
97,0.0,4.750000000000001,0.03460419062549241,Private
98,0.0,4.8500000000000005,0.03131159131315172,Public
99,0.0,4.95,0.028332214156371237,Public
100,0.01,-4.95,0.028666285124114614,Private
101,0.01,-4.8500000000000005,0.03103371986161153,Private
102,0.01,-4.75,0.03457323928199053,Private
103,0.01,-4.65,0.03824800247190634,Public
104,0.01,-4.55,0.042264542314376735,Private
105,0.01,-4.45,0.0467078432857268,Public
106,0.01,-4.3500000000000005,0.0516186284572776,Private
107,0.01,-4.25,0.05704530166474777,Private
108,0.01,-4.15,0.06304196205066623,Private
109,0.01,-4.05,0.06966830150387794,Private
110,0.01,-3.95,0.07699019581340266,Private
111,0.01,-3.85,0.08508032754094683,Private
112,0.01,-3.75,0.09401885934115406,Private
113,0.01,-3.6500000000000004,0.10389416343082372,Public
114,0.01,-3.55,0.11480360789057566,Private
115,0.01,-3.45,0.126854398873086,Public
116,0.01,-3.35,0.14016447534632984,Private
117,0.01,-3.25,0.15486344948655234,Private
118,0.01,-3.1500000000000004,0.17109358089754675,Private
119,0.01,-3.05,0.18901076598306704,Private
120,0.01,-2.95,0.20878551440184628,Public
121,0.01,-2.85,0.23060387176763286,Private
122,0.01,-2.75,0.2546682305706077,Public
123,0.01,-2.65,0.28119794837454004,Private
124,0.01,-2.55,0.3104296620699811,Private
125,0.01,-2.45,0.3426171474161337,Public
126,0.01,-2.35,0.37803052210376065,Public
127,0.01,-2.25,0.41695452582981635,Private
128,0.01,-2.15,0.4596855303183355,Private
129,0.01,-2.05,0.5065268346069594,Public
130,0.01,-1.95,0.5577816868965666,Private
131,0.01,-1.8499999999999999,0.6137433481173847,Public
